Tomatoes,149,3.5,n/a,Targ 1Mai,seller
Cucumbers,96,2.5,n/a,Targ 1Mai,seller
Tomatoes,319.5,3.3,n/a,Targ 1Mai,seller
Tomatoes,185,3,n/a,Targ 1Mai,seller
Tomatoes,15,2,n/a,Targ 1Mai,seller
Cucumbers,78,2,n/a,Targ 1Mai,seller
Cucumbers,24,1,n/a,Home Base,seller
Tomatoes,90,1,n/a,Home Base,seller
Tomatoes,994,2,n/a,Home Base,seller
Tomatoes,1132,3.5,n/a,Home Base,seller
Tomatoes,81,2,n/a,Home Base,seller
Cucumbers,55,2.5,n/a,Home Base,seller
Tomatoes,781,3,n/a,Home Base,seller
Tomatoes,70,2,n/a,Home Base,seller
Cucumbers,32,1.5,n/a,Home Base,seller
Tomatoes,27,1.5,n/a,Home Base,seller
Tomatoes,602,3.8,n/a,Home Base,seller
Tomatoes,16,2,n/a,Home Base,seller
Cucumbers,29,1.6,n/a,Home Base,seller
Tomatoes,803,3,n/a,Home Base,seller
Tomatoes,58,2,n/a,Home Base,seller
Cucumbers,29,2,n/a,Home Base,seller
Tomatoes,877,3.3,n/a,Home Base,seller
Tomatoes,72,2,n/a,Home Base,seller
Cucumbers,64,1.5,n/a,Home Base,seller
Tomatoes,914,3,n/a,Home Base,seller
Tomatoes,86,2,n/a,Home Base,seller
Cucumbers,76,1,n/a,Home Base,seller
Tomatoes,507,2,n/a,Home Base,seller
Tomatoes,70,1,n/a,Home Base,seller
Cucumbers,37,1,n/a,Home Base,seller
Tomatoes,1184,2.3,n/a,Home Base,seller
Tomatoes,112,1,n/a,Home Base,seller
Cucumbers,91,1,n/a,Home Base,seller
Tomatoes,1116,2,n/a,Home Base,seller
Tomatoes,108,1,n/a,Home Base,seller
Cucumbers,38,1,n/a,Home Base,seller
Green chili pepper,5,5,n/a,Home Base,seller
